AE;Code SANDRE de la station;Nom de la station;Réseaux de mesure;RCS;RCO;RRP;RCB/RCR;CoordX;CoordY;ECHELLESTA COMITER;Contexte piscicole;TYPEFR_CONSOLIDE;Code Masse d'eau;Type de station;AREA_KM2_ME
AERMC;06700027;BIEUGNE A TENDE 1;;NON;NON;NON;;;;;;TP2;FRDR10121;;
AERMC;06700028;ROYA A TENDE 4;;NON;NON;NON;;;;;;MP2;FRDR74;;
AERMC;06700032;ROYA A FONTAN 2;;NON;NON;NON;;;;;;MP2;FRDR74;;
AERMC;06700040;ROYA A FONTAN 1;;NON;NON;NON;;;;;;MP2;FRDR74;;
AERMC;06700042;ROYA A SAORGE ;;NON;NON;NON;;;;;;MP2;FRDR74;;
AERMC;06700055;VALLON DE LA MAGLIA A BREIL-SUR-ROYA ;;NON;NON;NON;;;;;;TP2;FRDR10182;;
AERMC;06700057;ROYA A BREIL-SUR-ROYA 3;;NON;NON;NON;;;;;;MP2;FRDR74;;
AERMC;06700062;ROYA A BREIL-SUR-ROYA 4;;NON;NON;NON;;;;;;MP2;FRDR74;;
AERMC;06700065;ROYA A BREIL-SUR-ROYA 1;;NON;NON;NON;;;;;;MP2;FRDR74;;
AERMC;06700068;ROYA A BREIL-SUR-ROYA 5;;NON;NON;NON;;;;;;MP2;FRDR74;;
AERMC;06700070;ROYA A BREIL-SUR-ROYA 2;;NON;NON;NON;;;;;;MP2;FRDR74;;
AERMC;06700070;ROYA A BREIL-SUR-ROYA 2;;NON;OUI;NON;;;;;;MP2;FRDR74;;
AERMC;06700070;ROYA A BREIL-SUR-ROYA 2;;OUI;NON;NON;;;;;;MP2;FRDR74;;
AERMC;06700070;ROYA A BREIL-SUR-ROYA 2;;NON;NON;NON;;;;;;MP2;FRDR74;;
AERMC;06700070;ROYA A BREIL-SUR-ROYA 2;;NON;NON;NON;;;;;;MP2;FRDR74;;
AERMC;06700075;BEVERA A MOULINET 1;;NON;OUI;NON;;;;;;TP2;FRDR73;;
AERMC;06700075;BEVERA A MOULINET 1;;NON;NON;OUI;;;;;;TP2;FRDR73;;
AERMC;06700075;BEVERA A MOULINET 1;;OUI;NON;NON;;;;;;TP2;FRDR73;;
AERMC;06700075;BEVERA A MOULINET 1;;NON;NON;NON;;;;;;TP2;FRDR73;;
AERMC;06700075;BEVERA A MOULINET 1;;NON;NON;NON;;;;;;TP2;FRDR73;;
AERMC;06700075;BEVERA A MOULINET 1;;NON;NON;NON;;;;;;TP2;FRDR73;;
AERMC;06700080;BEVERA A MOULINET 2;;NON;NON;NON;;;;;;TP2;FRDR73;;
AERMC;06700082;BEVERA A SOSPEL 1;;NON;NON;NON;;;;;;TP2;FRDR73;;
AERMC;06700092;BEVERA A SOSPEL 2;;NON;NON;NON;;;;;;TP2;FRDR73;;
AERMC;06700094;BEVERA A SOSPEL 3;;NON;NON;NON;;;;;;TP2;FRDR73;;
AERMC;06700100;LOUP A ANDON 1;;NON;NON;NON;;;;;;GMP7;FRDR93a;;
AERMC;06700105;LOUP A ANDON 2;;NON;NON;NON;;;;;;GMP7;FRDR93a;;
AERMC;06700110;LOUP A GREOLIERES 1;;NON;NON;NON;;;;;;GMP7;FRDR93a;;
AERMC;06700115;LOUP A GREOLIERES 3;;NON;NON;NON;;;;;;GMP7;FRDR93a;;
AERMC;06700116;VALLON DE GANIERE A GREOLIERES ;;NON;NON;NON;;;;;;TP7;FRDR11584;;
AERMC;06700120;LOUP A GREOLIERES 2;;NON;NON;NON;;;;;;GMP7;FRDR93a;;
AERMC;06700125;LOUP A COURMES ;;NON;NON;OUI;;;;;;GMP7;FRDR93a;;
AERMC;06700125;LOUP A COURMES ;;NON;NON;NON;;;;;;GMP7;FRDR93a;;
AERMC;06700125;LOUP A COURMES ;;NON;NON;NON;;;;;;GMP7;FRDR93a;;
AERMC;06700125;LOUP A COURMES ;;NON;NON;NON;;;;;;GMP7;FRDR93a;;
AERMC;06700128;VALLON DE BES A COURMES ;;NON;NON;NON;;;;;;TP6;;;
AERMC;06700130;LOUP A GOURDON ;;NON;NON;NON;;;;;;GMP7;FRDR93a;;
AERMC;06700135;LOUP A TOURRETTE-SUR-LOUP 2;;NON;NON;NON;;;;;;GMP7;FRDR93a;;
AERMC;06700140;LOUP A TOURRETTE-SUR-LOUP 3;;NON;NON;NON;;;;;;GMP7;FRDR93a;;
AERMC;06700145;LOUP A TOURRETTE-SUR-LOUP 4;;NON;NON;NON;;;;;;GMP7;FRDR93a;;
AERMC;06700148;RUISSEAU DES ESCURES A LE-BAR-SUR-LOUP ;;NON;NON;NON;;;;;;TP6;FRDR10490;;
AERMC;06700148;RUISSEAU DES ESCURES A LE-BAR-SUR-LOUP ;;NON;NON;NON;;;;;;TP6;FRDR10490;;
AERMC;06700148;RUISSEAU DES ESCURES A LE-BAR-SUR-LOUP ;;NON;OUI;NON;;;;;;TP6;FRDR10490;;
AERMC;06700150;LOUP A TOURRETTE-SUR-LOUP 5;;NON;NON;NON;;;;;;GMP7;FRDR93a;;
